ID;NAME;BRAND ID;BRAND;GROUP ID;GROUP NAME;SUBGROUP ID;SUBGROUP NAME;SPECIAL;TRAFFICLIGHT VALUE;PYRAMID VALUE;CARBS;SUGAR;ENERGY;PROTEINS;SATURATED FAT;FAT;SALT;SODIUM;FIBER
1730;Copos de 5 cereales bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;66.9;0.3;357;10.26;0.62;3.3;0.03;0.012;9.3
1151;Copos de amaranto bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;71.05;0.53;353;15.53;2.11;7.11;0.0035;0.001;9.47
1130;Copos de arroz integral bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;74.6;0.9;336;5.7;0.6;11;0.002;0.001;1.3
1158;Copos de avena bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;60;2;381;13;1.6;7.7;0.01;0.004;8.9
3816;Copos de avena finos;114;Biográ;7;Cereales;8;Cereales desayuno-Copos;No;1;0;56;1.1;370;14;1.3;7.6;0.01;0.004;10
3815;Copos de avena gruesos integrales;114;Biográ;7;Cereales;8;Cereales desayuno-Copos;No;1;0;56;1.1;370;14;1.3;7.6;0.01;0.004;10
1136;Copos de avena integral;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;56;1.1;370;14;1.3;7.6;0.002;0.001;10
1731;Copos de avena integral bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;56;1.1;370;14;1.3;7.6;0.002;0.001;10
1132;Copos de avena suave integral;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;56;1.1;370;14;1.3;7.6;0.002;0.001;10
1153;Copos de avena suave integral bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;56;1.1;370;14;1.3;7.6;0.002;0.001;10
1134;Copos de cebada bio;93;El Granero Integral;7;Cereales;8;Cereales desayuno-Copos;No;1;1;63.3;2;334;10.6;0.5;2.1;0.018;0.007;9.8
